tablescraper-selected-row	tablescraper-selected-row 2	tablescraper-selected-row href	hidden-desktop	hidden-phone	hidden-phone 2	utc	utc 2	hidden-phone 3	utc 3	utc 4	hidden-phone 4
214	17mTkRHptC9sArDvENtqmVBKFns6h1b9y8	https://bitinfocharts.com/bitcoin/address/17mTkRHptC9sArDvENtqmVBKFns6h1b9y8	1,030 BTC ($91,835,092) 26 0	1,030 BTC ($91,835,092)	0.0051595%	2017-08-08 05:52:38	2025-10-30 06:20:13	26			
215	14g9K1s4SpV8k2CtwTNJt1JWoHSyXG4JWj	https://bitinfocharts.com/bitcoin/address/14g9K1s4SpV8k2CtwTNJt1JWoHSyXG4JWj	1,024 BTC ($91,385,909) 25 0	1,024 BTC ($91,385,909)	0.0051342%	2018-03-01 20:53:20	2025-10-30 06:31:24	25			
216	1AyB2Ff33WjN8HyFHGa6UnEypDTnexiuVM	https://bitinfocharts.com/bitcoin/address/1AyB2Ff33WjN8HyFHGa6UnEypDTnexiuVM	1,023 BTC ($91,273,980) 27 0	1,023 BTC ($91,273,980)	0.0051279%	2014-07-01 11:51:08	2025-10-30 06:31:24	27			
217	1NxmQpXZD7yzXrTKdTBPGyVa9CphKb4i8t	https://bitinfocharts.com/bitcoin/address/1NxmQpXZD7yzXrTKdTBPGyVa9CphKb4i8t	1,020 BTC ($90,994,064) 26 0	1,020 BTC ($90,994,064)	0.0051122%	2017-09-30 19:42:07	2025-10-30 06:31:24	26			
218	1khWP41zrADdWSNwzXQUZGpURPgXHTaux	https://bitinfocharts.com/bitcoin/address/1khWP41zrADdWSNwzXQUZGpURPgXHTaux	1,010 BTC ($90,093,213) 26 0	1,010 BTC ($90,093,213)	0.0050616%	2013-10-02 02:34:16	2025-10-30 06:59:42	26			
219	1FyGxvtPXCniSqivesC7DwMsKw49KrnU79	https://bitinfocharts.com/bitcoin/address/1FyGxvtPXCniSqivesC7DwMsKw49KrnU79	1,005 BTC ($89,647,162) 25 0	1,005 BTC ($89,647,162)	0.0050365%	2017-11-07 17:32:33	2025-10-30 06:59:42	25			
301	1EcJrSJTGmrhHYqxFwGjcWESEDTMwTyTEj	https://bitinfocharts.com/bitcoin/address/1EcJrSJTGmrhHYqxFwGjcWESEDTMwTyTEj	1,000 BTC ($89,201,203) 27 0	1,000 BTC ($89,201,203)	0.0050115%	2011-08-10 11:59:21	2025-10-30 21:15:35	27			
302	1DWQ6tDZaFiBxAV5Gm3JQCZAJQQ9kU9VfX	https://bitinfocharts.com/bitcoin/address/1DWQ6tDZaFiBxAV5Gm3JQCZAJQQ9kU9VfX	1,000 BTC ($89,201,203) 27 0	1,000 BTC ($89,201,203)	0.0050115%	2011-05-13 14:24:45	2025-10-30 21:15:35	27			
303	1KHqggfE62Gkhwpt2AyH2XhJrpLA9SXDoe	https://bitinfocharts.com/bitcoin/address/1KHqggfE62Gkhwpt2AyH2XhJrpLA9SXDoe	1,000 BTC ($89,201,202) 27 0	1,000 BTC ($89,201,202)	0.0050115%	2015-02-07 11:34:00	2025-10-30 21:15:35	27			
304	1khKqY1WeuaFqzq4spQnN2fYMNNuMtmxj	https://bitinfocharts.com/bitcoin/address/1khKqY1WeuaFqzq4spQnN2fYMNNuMtmxj	1,000 BTC ($89,201,202) 26 0	1,000 BTC ($89,201,202)	0.0050115%	2013-09-18 05:56:14	2025-10-30 21:24:17	26			
